run_accession	sample_alias	experiment_title	read_count	fastq_bytes
SRR8293553	dCas9-only_RepA_Vemurafenib_A375	Illumina HiSeq 2500 sequencing: CRISPRa secondary pool screened with Vemurafenib using dCas9-only in A375, Replicate A	23648580	508899340
SRR8293614	dCas9-VP64_RepC_Dropout_Meljuso	Illumina HiSeq 2500 sequencing: Dropout CRISPRa screen with secondary pool using dCas9-VP64 in MelJuSo, Replicate C	9561113	232313394
SRR8293616	dCas9-VP64_RepB_Selumetinib_Meljuso	Illumina HiSeq 2500 sequencing: CRISPRa secondary pool screened with Selumetinib using dCas9-VP64 in MelJuSo, Replicate B	12425938	302780518
SRR8293868	Dolcetto_SetA_RepC_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with Dolcetto Set A in A375, Replicate C	32899236	796459569
SRR8293872	Dolcetto_SetB_RepA_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with Dolcetto Set B in A375, Replicate A	63295736	1569192990
SRR8293874	Dolcetto_SetB_RepC_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with Dolcetto Set B in A375, Replicate C	68466690	1690599634
SRR8296975	Tracrv2_RepA_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with a tiling library using a modified tracr in A375, Replicate A	22785409	626242454
SRR8296976	Tracrv2_RepB_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with a tiling library using a modified tracr in A375, Replicate B	17968234	498966891
SRR8296977	Tracrv2_pDNA	Illumina HiSeq 2500 sequencing: Plasmid DNA for tiling library with modified tracr	5601688	155732781
SRR8297270	Dolcetto_SetA_pDNA	Illumina HiSeq 2500 sequencing: Plasmid DNA for Dolcetto SetA	64408637	1509738413
SRR8297838	Brunello_mod_tracr_RepB_Dropout_A375	Illumina HiSeq 2500 sequencing: Dropout screen with Brunello and a modified tracr sequence in A375, Replicate B	67909372	1772816191
