accession	reference_targets	reads	matched_reads	count_events	extra_events	multiple_distinct_guides	within_gene_multiple	cross_gene_multiple
ERR376998	87437	10093905	9404898	10161871	756973	720995	713550	7445
ERR376999	87437	10300758	9365890	10108301	742411	707092	699052	8040
SRR8297997	77441	9821128	9289214	9318181	28967	26561	3436	23125
