accession	policy	source_records	origin_in_candidates	guide_correct	guide_incorrect	guide_ambiguous	guide_none	gene_correct	gene_incorrect	gene_ambiguous	gene_none	invalid
ERR376998	exact	87437	87437	85824	0	1613	0	87437	0	0	0	0
ERR376998	radius_k1	87437	87437	79949	0	7488	0	86861	0	576	0	0
ERR376998	best_k1	87437	87437	85824	0	1613	0	87437	0	0	0	0
ERR376999	exact	87437	87437	85824	0	1613	0	87437	0	0	0	0
ERR376999	radius_k1	87437	87437	79949	0	7488	0	86861	0	576	0	0
ERR376999	best_k1	87437	87437	85824	0	1613	0	87437	0	0	0	0
SRR8297997	exact	77441	77441	77410	0	31	0	77412	0	29	0	0
SRR8297997	radius_k1	77441	77441	76361	0	1080	0	76390	0	1051	0	0
SRR8297997	best_k1	77441	77441	77410	0	31	0	77412	0	29	0	0
