run	biological_sample	raw_records	ReCo_assigned_count	raw_sha256
SRR8297997	pDNA	9821128	8671012	c55a555a73174f70e2d966f15bfb2b69ab99e456efd130dcd1a1b122970e017c
SRR8297836	A	63209854	52933777	586ceb6a69b74ef7f797c7a64f6c90c0122bb6f7632fb76d7aa8197f129669a4
SRR8297837	A	13261470	10502907	13c05228dc3ca0fd40c0e111782ebfaa9709a44d7704c0c714bf43ba8716819b
SRR8297838	B	67909372	56981072	6b78fea1f28d8aeded409442aaad920204ec158c31ad39df3ca87fd5ce369cab
SRR8297839	B	17391687	12643651	b4916d5e58d94c7a071fd7a672abfeb75d975ed45cb3145901f27cd2819f6815
SRR8297840	C	53767239	45116143	90a56ac9bbb20d507b97efe58426082cdb800dfb6c23292cd9d277f8c64c3d2c
SRR8297841	C	21589661	17688180	d629b4999cb568ed492306a4a120e9127f3a48f3c04db3fff2c6e2b62b53422e
