scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
thin	joint_exact	joint_best	MRPL38	4	4	-2.7935	-2.1887	0.6048	0.110331	0.110823	1495.0	1452.0	0	0	0.060330999999999996	0.060823
thin	joint_exact	joint_best	MRPL46	4	4	-3.1622	-2.636	0.5261999999999998	0.111015	0.113054	1500.0	1470.0	0	0	0.061015	0.063054
thin	joint_exact	joint_best	MRPS10	4	4	-3.6789	-2.8593	0.8195999999999999	0.011324	0.009407	550.0	466.0	1	1	0.038676	0.040593000000000004
thin	joint_exact	joint_best	MRPS12	4	4	-3.5041	-2.3943	1.1098000000000003	0.013806	0.024632	622.0	818.0	1	1	0.036194000000000004	0.025368
thin	joint_exact	joint_best	MRPS5	4	4	-4.8317	-3.661	1.1706999999999996	0.065859	0.111141	1269.0	1456.0	0	0	0.015858999999999998	0.061141
thin	joint_exact	joint_best	MRPS6	4	4	-2.9993	-2.4389	0.5604	0.033076	0.053232	962.0	1143.0	1	0	0.016924	0.0032319999999999988
thin	joint_exact	joint_best	MTG2	3	3	-4.8506	-3.4586	1.392	0.091041	0.172632	1493.0	1785.0	0	0	0.041040999999999994	0.122632
thin	joint_exact	joint_best	MVD	4	4	-5.4551	-4.3584	1.0967000000000002	0.038124	0.028159	1029.0	862.0	1	1	0.011876000000000005	0.021841000000000003
thin	joint_exact	joint_best	MVK	4	4	-4.6771	-4.042	0.6351000000000004	0.008321	0.007904	465.0	420.0	1	1	0.041679	0.042096
thin	joint_exact	joint_best	NAA50	3	3	-5.9744	-4.6709	1.3035000000000005	0.011623	0.011675	617.0	608.0	1	1	0.038377	0.038325000000000005
thin	joint_exact	joint_best	NARS2	4	4	-2.7573	-2.2047	0.5526	0.019007	0.018315	756.0	722.0	1	1	0.030993000000000003	0.031685000000000005
thin	joint_exact	joint_best	NCBP2	4	4	-4.5093	-3.9857	0.5235999999999996	0.005994	0.006006	348.0	316.0	1	1	0.044006	0.043994000000000005
thin	joint_exact	joint_best	NCL	4	4	-4.7974	-3.9908	0.8065999999999995	0.013729	0.010587	620.0	509.0	1	1	0.036271000000000005	0.039413000000000004
thin	joint_exact	joint_best	NDUFAB1	4	4	-1.8306	-1.2443	0.5863	0.820459	0.836125	2833.0	2848.0	0	0	0.770459	0.786125
thin	joint_exact	joint_best	NELFB	4	4	-3.2937	-2.2446	1.0490999999999997	0.065344	0.069708	1261.0	1264.0	0	0	0.015343999999999997	0.019708000000000003
thin	joint_exact	joint_best	NELFCD	4	4	-3.9434	-2.7303	1.2130999999999998	0.011519	0.033962	563.0	951.0	1	1	0.038481	0.016038000000000004
thin	joint_exact	joint_best	NHP2L1	4	4	-5.0443	-4.178	0.8662999999999998	0.041743	0.034898	1062.0	965.0	1	1	0.008257	0.015102000000000004
thin	joint_exact	joint_best	NIP7	4	4	-3.5016	-2.7386	0.7629999999999999	0.012774	0.014414	595.0	627.0	1	1	0.037226	0.035586000000000007
thin	joint_exact	joint_best	NLE1	4	4	-5.7786	-4.1115	1.6670999999999996	0.00427	0.010605	238.0	510.0	1	1	0.04573	0.039395
thin	joint_exact	joint_best	NMD3	4	4	-4.7816	-4.2296	0.5520000000000005	0.001079	0.001111	75.0	29.0	1	1	0.048921000000000006	0.048889
thin	joint_exact	joint_best	NOL6	4	4	-5.3573	-4.5107	0.8466000000000005	0.007548	0.011712	442.0	558.0	1	1	0.042452000000000004	0.038288
thin	joint_exact	joint_best	NOP58	4	4	-7.7813	-7.0126	0.7686999999999999	0.001079	0.009407	65.0	467.0	1	1	0.048921000000000006	0.040593000000000004
thin	joint_exact	joint_best	NPIPA5	4	4	-3.1313	-2.066	1.0653000000000001	0.31401	0.332103	2086.0	2117.0	0	0	0.26401	0.282103
thin	joint_exact	joint_best	NPIPA8	4	4	-5.1759	-3.2487	1.9272000000000005	0.060122	0.080236	1229.0	1322.0	0	0	0.010121999999999999	0.030236
thin	joint_exact	joint_best	NSF	4	4	-5.0114	-3.9973	1.0141	0.007064	0.023781	417.0	804.0	1	1	0.042936	0.026219000000000003
thin	joint_exact	joint_best	NUBP2	4	4	-7.0812	-3.3302	3.751	0.005001	0.007904	278.0	411.0	1	1	0.044999000000000004	0.042096
thin	joint_exact	joint_best	NUDC	3	3	-2.2146	-1.5239	0.6906999999999999	0.219636	0.209819	1942.0	1909.0	0	0	0.169636	0.159819
thin	joint_exact	joint_best	NUP205	3	3	-4.0876	-3.0767	1.0109	0.026582	0.02751	935.0	920.0	1	1	0.023418	0.022490000000000003
thin	joint_exact	joint_best	NUP85	4	4	-6.5968	-4.6847	1.9120999999999997	0.000939	0.001344	53.0	61.0	1	1	0.049061	0.048656000000000005
thin	joint_exact	joint_best	ORAOV1	4	4	-5.7407	-4.8034	0.9373000000000005	0.001407	0.010792	99.0	514.0	1	1	0.048593000000000004	0.03920800000000001
thin	joint_exact	joint_best	ORC3	4	4	-3.1721	-2.4481	0.7239999999999998	0.033594	0.027092	975.0	856.0	1	1	0.016406000000000004	0.022908
thin	joint_exact	joint_best	OSBP	4	4	-4.0229	-2.9025	1.1204	0.083445	0.157951	1370.0	1656.0	0	0	0.033445	0.107951
thin	joint_exact	joint_best	PAFAH1B1	4	4	-5.6625	-5.0884	0.5740999999999996	0.004519	0.004376	262.0	246.0	1	1	0.045481	0.045624000000000005
