scope	left	right	gene	left_guides	right_guides	left_lfc	right_lfc	delta_lfc	left_fdr	right_fdr	left_rank	right_rank	left_call_0_05	right_call_0_05	left_distance_from_0_05	right_distance_from_0_05
full	joint_exact	joint_best	GTF2H4	4	4	-2.0529	-2.2095	-0.15659999999999963	0.057837	0.043206	1207.0	1044.0	0	1	0.007836999999999997	0.006794000000000001
full	joint_exact	joint_best	HIST1H2BN	4	4	-2.9288	-2.9364	-0.007600000000000051	0.057663	0.049062	1203.0	1100.0	0	1	0.007662999999999996	0.0009380000000000013
full	joint_exact	joint_best	HIST2H3C	4	4	-2.9304	-2.8271	0.10329999999999995	0.036173	0.113865	1017.0	1476.0	1	0	0.013827000000000006	0.06386499999999999
full	joint_exact	joint_best	HIST2H3D	3	3	-3.7969	-3.775	0.02190000000000003	0.032706	0.113735	1035.0	1572.0	1	0	0.017294000000000004	0.063735
full	joint_exact	joint_best	HMGB1	4	4	-3.2393	-2.8922	0.3471000000000002	0.061772	0.046197	1240.0	1072.0	0	1	0.011771999999999998	0.003803000000000001
full	joint_exact	joint_best	HNRNPL	4	4	-2.9054	-2.971	-0.06559999999999988	0.050434	0.040385	1148.0	1013.0	0	1	0.0004339999999999969	0.009615000000000005
full	joint_exact	joint_best	IFNA14	4	4	-1.745	-1.4254	0.3196000000000001	0.057663	0.049732	1204.0	1108.0	0	1	0.007662999999999996	0.00026800000000000435
full	joint_exact	joint_best	INTS4	4	4	-2.4306	-2.5204	-0.08979999999999988	0.041263	0.050533	1055.0	1126.0	1	0	0.008737000000000002	0.0005329999999999988
full	joint_exact	joint_best	INTS9	4	4	-4.5805	-4.0836	0.4969000000000001	0.020593	0.084446	804.0	1350.0	1	0	0.029407000000000003	0.03444599999999999
full	joint_exact	joint_best	ITGAV	4	4	-1.5244	-1.2985	0.2259	0.054468	0.038473	1177.0	994.0	0	1	0.004468	0.011527000000000003
full	joint_exact	joint_best	KAT8	4	4	-4.3356	-3.9235	0.41210000000000013	0.045961	0.078156	1096.0	1312.0	1	0	0.004039000000000001	0.028156
full	joint_exact	joint_best	KNTC1	4	4	-2.3116	-2.3685	-0.05690000000000017	0.036841	0.109854	1023.0	1447.0	1	0	0.013159000000000004	0.05985399999999999
full	joint_exact	joint_best	LAS1L	4	4	-2.9406	-2.9789	-0.0383	0.05232	0.041852	1159.0	1025.0	0	1	0.0023199999999999957	0.008148000000000002
full	joint_exact	joint_best	LIG4	4	4	-1.4045	-1.428	-0.023499999999999854	0.053121	0.04294	1169.0	1043.0	0	1	0.0031209999999999988	0.007060000000000004
full	joint_exact	joint_best	MAP2K1	3	3	-4.0133	-3.8229	0.1903999999999999	0.032393	0.063817	1032.0	1301.0	1	0	0.017607000000000005	0.013816999999999996
full	joint_exact	joint_best	MED30	3	3	-3.1462	-2.1299	1.0162999999999998	0.032335	0.113486	1030.0	1570.0	1	0	0.017665	0.063486
full	joint_exact	joint_best	MRPL12	4	4	-2.8697	-2.8132	0.05649999999999977	0.053107	0.046828	1168.0	1074.0	0	1	0.0031069999999999987	0.003172000000000001
full	joint_exact	joint_best	MRPL24	3	3	-4.3329	-4.2995	0.03340000000000032	0.054145	0.04762	1257.0	1165.0	0	1	0.004144999999999996	0.00238
full	joint_exact	joint_best	MRPL45	4	4	-2.759	-2.4891	0.2698999999999998	0.031918	0.050083	954.0	1117.0	1	0	0.018082	8.299999999999974e-05
full	joint_exact	joint_best	MRPS16	4	4	-2.6325	-2.6933	-0.060799999999999965	0.047203	0.062581	1109.0	1222.0	1	0	0.002797000000000001	0.012580999999999995
full	joint_exact	joint_best	MRPS6	4	4	-3.0261	-2.4599	0.5661999999999998	0.03093	0.053178	939.0	1142.0	1	0	0.019070000000000004	0.0031780000000000003
full	joint_exact	joint_best	MTCH2	4	4	-2.1174	-2.147	-0.02959999999999985	0.034723	0.05264	990.0	1139.0	1	0	0.015277000000000006	0.0026399999999999965
full	joint_exact	joint_best	NME6	4	4	-1.4279	-1.3739	0.05400000000000005	0.059193	0.048371	1225.0	1097.0	0	1	0.009193	0.0016290000000000054
full	joint_exact	joint_best	NR2C2AP	4	4	-2.1422	-2.162	-0.01980000000000004	0.046618	0.0551	1103.0	1155.0	1	0	0.003382000000000003	0.0051
full	joint_exact	joint_best	PDCD2	4	4	-4.0986	-4.2076	-0.10899999999999999	0.016509	0.065525	691.0	1240.0	1	0	0.03349100000000001	0.015524999999999997
full	joint_exact	joint_best	PDCD5	4	4	-1.6119	-1.5681	0.04380000000000006	0.050222	0.031335	1146.0	913.0	0	1	0.00022199999999999998	0.018665
full	joint_exact	joint_best	POLE	4	4	-4.3483	-2.8248	1.5234999999999999	0.019175	0.072531	762.0	1275.0	1	0	0.030825	0.022530999999999995
full	joint_exact	joint_best	POLR2A	4	4	-4.9622	-3.9248	1.0374000000000003	0.069219	0.046197	1292.0	1071.0	0	1	0.019219	0.003803000000000001
full	joint_exact	joint_best	POLR2B	4	4	-4.796	-3.9538	0.8422000000000001	0.041799	0.060914	1062.0	1195.0	1	0	0.008201	0.010914
full	joint_exact	joint_best	POLR3H	4	4	-3.3246	-3.0913	0.23330000000000028	0.015115	0.06015	655.0	1189.0	1	0	0.034885	0.01015
full	joint_exact	joint_best	PPIAL4F	4	4	-2.2867	-2.2271	0.0596000000000001	0.040929	0.060679	1053.0	1192.0	1	0	0.009071000000000003	0.010678999999999994
full	joint_exact	joint_best	PRAMEF6	4	4	-2.0618	-2.0315	0.030299999999999994	0.066393	0.049749	1270.0	1109.0	0	1	0.01639299999999999	0.0002510000000000012
full	joint_exact	joint_best	PRPF38A	4	4	-4.3899	-3.2771	1.1128	0.030294	0.074763	925.0	1292.0	1	0	0.019706	0.024762999999999993
full	joint_exact	joint_best	PRPF4B	4	4	-3.1234	-3.153	-0.02959999999999985	0.052559	0.0438	1165.0	1054.0	0	1	0.0025589999999999988	0.006200000000000004
full	joint_exact	joint_best	PRPF6	3	3	-3.0841	-3.1778	-0.09370000000000012	0.05021	0.046429	1227.0	1152.0	0	1	0.0002099999999999949	0.0035710000000000047
full	joint_exact	joint_best	PSMD13	4	4	-3.0448	-2.3877	0.6570999999999998	0.021034	0.224395	811.0	1850.0	1	0	0.028966000000000002	0.17439500000000002
full	joint_exact	joint_best	RAD21	4	4	-2.6461	-2.6842	-0.03810000000000002	0.057558	0.047949	1200.0	1089.0	0	1	0.007557999999999995	0.002051000000000004
full	joint_exact	joint_best	RGPD1	4	4	-2.6703	-2.5198	0.15050000000000008	0.032217	0.055938	956.0	1164.0	1	0	0.017783	0.005937999999999999
full	joint_exact	joint_best	RPA3	4	4	-3.8424	-3.4836	0.3588	0.015913	0.083355	671.0	1343.0	1	0	0.034087000000000006	0.033354999999999996
full	joint_exact	joint_best	RPL3	4	4	-4.9635	-4.6982	0.26529999999999987	0.026256	0.054171	881.0	1144.0	1	0	0.023744	0.004170999999999994
full	joint_exact	joint_best	RPL30	4	4	-5.375	-5.5324	-0.15739999999999998	0.05714	0.03801	1197.0	989.0	0	1	0.0071400000000000005	0.01199
full	joint_exact	joint_best	RRP12	4	4	-5.2929	-4.6197	0.6732000000000005	0.0443	0.116504	1085.0	1491.0	1	0	0.005700000000000004	0.066504
full	joint_exact	joint_best	RTFDC1	4	4	-3.1121	-3.1593	-0.04720000000000013	0.025561	0.055375	871.0	1157.0	1	0	0.024439000000000002	0.005374999999999998
full	joint_exact	joint_best	SDHAF2	4	4	-2.7901	-2.7299	0.06019999999999959	0.02437	0.060679	860.0	1190.0	1	0	0.025630000000000003	0.010678999999999994
full	joint_exact	joint_best	SDHB	4	4	-4.9275	-4.8925	0.03500000000000014	0.052545	0.049837	1164.0	1112.0	0	1	0.0025449999999999987	0.00016300000000000342
