run	sample	sample_accession	records	thinned_records	event_best_matched	event_best_events	event_best_extra	raw_sha256
SRR8297997	pDNA	SAMN10517964	9821128	9821128	9289214	9318181	28967	c55a555a73174f70e2d966f15bfb2b69ab99e456efd130dcd1a1b122970e017c
SRR8297836	A	SAMN10517961	63209854	62289512	57764698	57907779	143081	586ceb6a69b74ef7f797c7a64f6c90c0122bb6f7632fb76d7aa8197f129669a4
SRR8297837	A	SAMN10517961	13261470	13068319	11564262	11592054	27792	13c05228dc3ca0fd40c0e111782ebfaa9709a44d7704c0c714bf43ba8716819b
SRR8297838	B	SAMN10517962	67909372	59991005	62123096	62279773	156677	6b78fea1f28d8aeded409442aaad920204ec158c31ad39df3ca87fd5ce369cab
SRR8297839	B	SAMN10517962	17391687	15364116	13945838	13978223	32385	b4916d5e58d94c7a071fd7a672abfeb75d975ed45cb3145901f27cd2819f6815
SRR8297840	C	SAMN10517963	53767239	53767239	49224794	49346331	121537	90a56ac9bbb20d507b97efe58426082cdb800dfb6c23292cd9d277f8c64c3d2c
SRR8297841	C	SAMN10517963	21589661	21589661	19510246	19562272	52026	d629b4999cb568ed492306a4a120e9127f3a48f3c04db3fff2c6e2b62b53422e
